epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8851,1.38756,2.69268,1.38873,0.93284,0.04608,0.4139,0.27047,1.16503,2.72851,1.11402,0.000467673,0.000467673,0.000467673
2,24.9606,1.37482,1.86128,1.39751,0.63563,0.32015,0.3878,0.24522,1.23114,2.47784,1.22394,0.000925315,0.000925315,0.000925315
3,35.5488,1.36056,1.71051,1.38592,0.56041,0.54597,0.5521,0.34831,1.2389,1.75205,1.23709,0.00136409,0.00136409,0.00136409
4,46.0508,1.36081,1.66883,1.3951,0.55166,0.55026,0.54911,0.36619,1.15531,2.03767,1.2176,0.00134412,0.00134412,0.00134412
5,56.7237,1.33982,1.53558,1.37122,0.63138,0.65381,0.66332,0.43877,1.13075,1.42243,1.15465,0.00131582,0.00131582,0.00131582
6,67.3027,1.3005,1.44946,1.35669,0.51781,0.59545,0.54077,0.34195,1.24542,1.53805,1.21149,0.00128753,0.00128753,0.00128753
7,77.9767,1.28107,1.35107,1.33866,0.6348,0.66702,0.66199,0.45855,1.11458,1.29753,1.16908,0.00125923,0.00125923,0.00125923
8,88.5747,1.25435,1.26598,1.31473,0.63909,0.72353,0.71007,0.49541,1.1022,1.24535,1.13079,0.00123094,0.00123094,0.00123094
9,99.0928,1.22723,1.23883,1.29796,0.71076,0.69133,0.69907,0.48143,1.13864,1.33308,1.13939,0.00120265,0.00120265,0.00120265
10,109.649,1.21629,1.1568,1.2863,0.70031,0.70424,0.73561,0.51575,1.04593,1.21657,1.09423,0.00117435,0.00117435,0.00117435
11,120.227,1.18309,1.11286,1.26729,0.71777,0.72744,0.74481,0.54562,0.97588,1.11895,1.06754,0.00114606,0.00114606,0.00114606
12,130.934,1.17006,1.09844,1.27918,0.76576,0.68082,0.73166,0.52025,1.03509,1.14024,1.08647,0.00111776,0.00111776,0.00111776
13,141.502,1.1688,1.07376,1.2684,0.69571,0.72213,0.72779,0.52541,1.02815,1.2166,1.06924,0.00108947,0.00108947,0.00108947
14,152.068,1.13583,1.03272,1.24455,0.66975,0.73661,0.73491,0.53933,0.99802,1.15078,1.07156,0.00106118,0.00106118,0.00106118
15,162.589,1.12443,1.00662,1.23847,0.75193,0.76177,0.76828,0.56676,0.94852,1.04295,1.06575,0.00103288,0.00103288,0.00103288
16,173.142,1.12416,0.99026,1.24718,0.7889,0.68073,0.74619,0.53085,0.9976,1.15357,1.06329,0.00100459,0.00100459,0.00100459
17,183.722,1.10283,0.9604,1.21468,0.73395,0.75495,0.77843,0.58015,0.96607,1.00076,1.04543,0.000976293,0.000976293,0.000976293
18,194.255,1.07421,0.93053,1.21114,0.73278,0.76722,0.77243,0.57225,0.94586,1.04528,1.0456,0.000947999,0.000947999,0.000947999
19,204.919,1.07594,0.92657,1.20746,0.72937,0.74626,0.80016,0.59978,0.92905,1.01508,1.02798,0.000919704,0.000919704,0.000919704
20,215.488,1.07109,0.90905,1.20767,0.71383,0.80322,0.78443,0.58383,0.93237,0.97024,1.03063,0.00089141,0.00089141,0.00089141
21,225.992,1.04585,0.85877,1.18047,0.713,0.70757,0.73745,0.54928,0.99924,1.10559,1.07709,0.000863116,0.000863116,0.000863116
22,236.564,1.03672,0.85234,1.17721,0.65532,0.66512,0.69949,0.52906,0.95939,1.30949,1.05401,0.000834822,0.000834822,0.000834822
23,247.135,1.03211,0.84752,1.18575,0.7241,0.70439,0.73554,0.53309,0.94781,1.14098,1.02887,0.000806528,0.000806528,0.000806528
24,257.661,1.0097,0.81616,1.16414,0.71204,0.71463,0.77521,0.58015,0.94734,1.1858,1.02399,0.000778233,0.000778233,0.000778233
25,268.261,1.01799,0.81551,1.16928,0.81082,0.69858,0.77751,0.58571,0.94993,1.08736,1.04521,0.000749939,0.000749939,0.000749939
26,278.756,0.98525,0.78629,1.15346,0.74247,0.73462,0.75755,0.5557,0.95747,1.01059,1.03313,0.000721645,0.000721645,0.000721645
27,289.279,0.99011,0.77316,1.15198,0.81939,0.69923,0.79268,0.60478,0.9422,0.98738,1.03898,0.000693351,0.000693351,0.000693351
28,299.875,0.97465,0.76648,1.1373,0.78034,0.74505,0.78925,0.60182,0.92692,0.96187,1.0118,0.000665057,0.000665057,0.000665057
29,310.837,0.96024,0.73934,1.12959,0.78308,0.7684,0.80675,0.61631,0.90713,0.97535,1.01566,0.000636762,0.000636762,0.000636762
30,321.301,0.94751,0.71879,1.12651,0.80745,0.72598,0.80823,0.59253,0.99385,1.00202,1.05015,0.000608468,0.000608468,0.000608468
31,331.897,0.93954,0.71375,1.13015,0.79204,0.76466,0.807,0.61369,0.94565,1.00173,1.05974,0.000580174,0.000580174,0.000580174
